# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_resid_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
-546.859,0.333333,0.25,1,3,1,560.018,1.61661,1.74696,0.168338,-0.848396,-1.93488,1.19937,-0.997354,-0.256347,1.86497,-0.937148,0.426789,1.94335,1.01169,1.31532,-1.13331,1.42611,-1.13252,0.796746,1.0417,0.977097,0.519641,4.50314,7.96041,0.0718448,-0.362086,-0.825783,0.511877,-0.425659,-0.109406,0.795949,-0.399964,1.89884,0.988524,1.2852,-1.10736,1.39345,-1.10658,0.778498,1.01785,1.61661
-546.859,0,4.28063,0,1,1,556.876,1.61661,1.74696,0.168338,-0.848396,-1.93488,1.19937,-0.997354,-0.256347,1.86497,-0.937148,0.426789,1.94335,1.01169,1.31532,-1.13331,1.42611,-1.13252,0.796746,1.0417,0.977097,0.519641,4.50314,7.96041,0.0718448,-0.362086,-0.825783,0.511877,-0.425659,-0.109406,0.795949,-0.399964,1.89884,0.988524,1.2852,-1.10736,1.39345,-1.10658,0.778498,1.01785,1.61661
-546.859,0,0.505111,0,1,1,556.028,1.61661,1.74696,0.168338,-0.848396,-1.93488,1.19937,-0.997354,-0.256347,1.86497,-0.937148,0.426789,1.94335,1.01169,1.31532,-1.13331,1.42611,-1.13252,0.796746,1.0417,0.977097,0.519641,4.50314,7.96041,0.0718448,-0.362086,-0.825783,0.511877,-0.425659,-0.109406,0.795949,-0.399964,1.89884,0.988524,1.2852,-1.10736,1.39345,-1.10658,0.778498,1.01785,1.61661
-280.832,1,0.0405813,3,7,0,548.534,1.27271,1.95531,0.0542465,-0.688385,-1.87862,1.44417,-0.840504,-0.136201,2.05317,-0.824334,0.43616,1.49639,0.634026,1.21959,-1.23726,1.22756,-0.905592,0.256102,1.10171,0.203759,0.784787,0.771863,11.6016,0.0236601,-0.300246,-0.819377,0.629888,-0.366594,-0.0594052,0.895512,-0.359541,0.304903,0.129189,0.248503,-0.252103,0.250127,-0.184523,0.0521833,0.224484,1.27271
-251.975,1,0.0482795,4,15,0,289.359,0.515368,2.03992,-0.250778,-1.30479,-1.33117,1.31901,-0.510015,0.592454,1.91824,-1.24159,0.281889,1.40935,0.691714,1.49713,-0.744299,1.69199,-1.07269,-0.0434922,0.904253,0.0751901,0.982447,0.670067,5.73735,-0.0706917,-0.367807,-0.375242,0.371815,-0.143768,0.167007,0.54073,-0.34999,0.105969,0.05201,0.11257,-0.0559639,0.127221,-0.0806554,-0.00327018,0.0679908,0.515368
-250.121,0.996555,0.0694982,6,63,0,263.362,0.387837,2.13072,0.531543,-2.38905,-0.0142866,-0.0309982,-0.562405,-0.383262,1.674,-0.632215,0.328251,0.740586,1.49232,-0.0715891,-1.14582,0.400982,0.371704,2.23666,1.29665,0.108957,0.983855,0.542861,3.83891,0.17448,-0.784208,-0.0046896,-0.0101752,-0.18461,-0.125806,0.549493,-0.207525,0.0806921,0.162599,-0.00780013,-0.124845,0.0436898,0.0404997,0.2437,0.141279,0.387837
-225.168,0.777641,0.110948,5,31,0,264.242,-0.370774,-5.05823,-0.764537,1.08326,1.92108,0.987697,1.49711,-0.277548,-1.84419,0.932175,0.0243104,-0.505917,-0.0534546,0.227551,1.03056,-0.000856717,-0.187095,-2.03027,-1.31525,0.0552889,0.606545,0.470424,4.35545,-0.0185862,0.0263345,0.0467023,0.0240113,0.0363955,-0.0067473,-0.0448331,0.0226616,-0.0279716,-0.00295545,0.012581,0.0569786,-4.73669e-05,-0.0103443,-0.112251,-0.0727186,-0.370774
-219.892,0.997897,0.0960435,5,31,0,231.282,-0.401986,-4.77889,0.644358,0.838549,0.922076,0.631426,0.0503601,-0.528736,-0.575132,0.989213,0.00599528,-0.36133,1.15811,0.218849,0.439924,0.667221,0.315864,-1.41373,0.507637,0.0139119,0.581432,0.43989,2.96939,0.0038631,0.00502733,0.0055281,0.00378557,0.000301923,-0.00316992,-0.00344808,0.00593061,-0.0050268,0.0161116,0.00304462,0.00612018,0.00928232,0.00439428,-0.0196678,0.0070622,-0.401986
-214.908,0.165037,0.171038,2,7,0,225.239,-0.151974,-4.91173,0.664425,0.755162,0.849265,0.447161,0.152423,-0.228379,-0.593185,0.803019,0.00671239,-0.435258,1.20418,0.225552,0.663285,0.704796,-0.0202239,-1.30397,0.34671,0.0152033,0.585091,0.479006,3.54831,0.00445988,0.00506894,0.00570059,0.00300152,0.00102312,-0.00153297,-0.00398169,0.00539017,-0.00661735,0.0183074,0.00342913,0.0100841,0.0107152,-0.00030747,-0.0198246,0.00527113,-0.151974
-203.118,0.999044,0.02258,8,255,0,224.681,-0.235941,-5.38081,-1.07095,-1.90897,-0.472359,0.371076,0.214303,-0.450777,0.219266,-0.581143,1.44771,-0.295599,1.83205,0.302966,-1.13384,-0.162702,0.113787,1.32657,-0.550108,0.0452016,0.571862,0.433793,4.18054,-1.55042,-2.76363,-0.683839,0.53721,0.310249,-0.652595,0.317433,-0.841327,-0.0133615,0.0828117,0.0136945,-0.0512512,-0.0073544,0.00514337,0.0599631,-0.0248657,-0.235941
-208.28,0.992599,0.0420156,6,63,0,223.168,-0.0988567,-6.74921,-2.05761,-2.06446,-3.02732,-0.496842,1.46659,-0.985768,-1.6527,-0.645343,0.537238,-0.000576993,0.995501,0.11061,-0.619417,0.397828,0.542112,0.83649,-2.15511,0.136027,0.540309,0.440665,4.43365,-1.10543,-1.1091,-1.62639,-0.266922,0.787907,-0.529592,-0.887894,-0.346703,-7.84866e-05,0.135415,0.0150459,-0.0842576,0.0541154,0.073742,0.113785,-0.293153,-0.0988567
-202.694,0.532568,0.0776808,5,31,0,219.276,-0.185037,-6.89182,-2.08093,-2.1667,-2.64435,-0.498517,1.06952,-1.13873,-0.795611,-0.358162,0.794795,-0.117255,0.907772,0.0115634,-0.369597,0.413305,0.901776,1.5459,-2.32194,0.0964797,0.529089,0.425468,3.39729,-1.65391,-1.72208,-2.10172,-0.396219,0.850046,-0.905058,-0.632348,-0.284665,-0.0113127,0.0875815,0.00111563,-0.0356586,0.0398756,0.0870031,0.149148,-0.22402,-0.185037
-203.908,0.987707,0.033955,7,127,0,220.596,-0.21467,-7.96103,2.29679,-1.3547,-1.26998,1.02333,-0.582782,-0.627172,-0.21889,1.18194,0.938052,0.118833,1.1975,1.10321,0.236371,0.0318846,-0.541242,-0.449815,0.995864,0.0744237,0.44192,0.459419,3.53277,2.15451,-1.27078,-1.19131,0.959933,-0.54668,-0.58832,-0.20533,1.10872,0.00884402,0.0891224,0.0821053,0.0175916,0.00237297,-0.0402812,-0.0334769,0.0741158,-0.21467
-191.339,0.951497,0.06272,5,63,0,216.15,-0.143017,-7.22236,0.161407,-0.844304,-1.21999,-0.482946,1.07091,-1.87105,-1.43805,1.30617,3.01778,-0.44986,0.83553,0.701002,-0.999992,1.61619,0.323825,0.0927624,0.0133413,0.0914692,0.419931,0.385586,3.11509,0.487091,-2.54792,-3.68167,-1.45743,3.23176,-5.64641,-4.33971,3.94175,-0.0411483,0.0764252,0.06412,-0.0914684,0.147831,0.02962,0.0084849,0.00122032,-0.143017
-187.414,0.058791,0.103431,5,31,0,200.44,-0.0621963,-7.36577,0.319301,-0.86054,-1.31619,-0.569054,0.902123,-1.8087,-1.32397,1.21604,2.80683,-0.397575,1.01497,0.791001,-0.988394,1.78023,0.332806,-0.116306,0.0744945,0.0866137,0.40115,0.397957,2.99504,0.896223,-2.41539,-3.69433,-1.59724,2.53211,-5.07671,-3.71616,3.41322,-0.0344354,0.08791,0.0685115,-0.0856085,0.154192,0.0288256,-0.0100737,0.00645225,-0.0621963
-191.988,0.985155,0.01071,7,127,0,208.357,-0.148595,-6.93892,-0.515493,-0.765745,-1.19173,-0.152754,1.62908,0.00988064,-0.0410522,0.955863,2.60712,-0.214793,1.23067,1.5933,-1.88066,1.44378,0.79068,0.555321,-0.974135,0.0690161,0.293547,0.350058,2.80196,-1.34395,-1.99639,-3.10697,-0.398248,4.24721,0.02576,-0.107028,2.49204,-0.0148242,0.0849363,0.109963,-0.129796,0.0996443,0.0545697,0.0383261,-0.067231,-0.148595
