# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_resid_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
-320.689,1,0.0625,3,7,0,627.666,-0.340541,-1.98885,1.40109,0.983479,-0.71758,0.209708,1.07881,0.511405,0.402107,-1.88513,0.158621,-1.59786,-1.33243,-1.50945,0.155392,0.565099,-0.464147,0.079466,-1.32471,0.329805,0.795527,1.30999,2.85682,0.222243,0.156,-0.113823,0.033264,0.171121,0.0811195,0.0637826,-0.299021,-0.526984,-0.439442,-0.497825,0.0512491,0.186373,-0.153078,0.0262083,-0.436895,-0.340541
-320.689,0,14.3855,0,1,1,329.962,-0.340541,-1.98885,1.40109,0.983479,-0.71758,0.209708,1.07881,0.511405,0.402107,-1.88513,0.158621,-1.59786,-1.33243,-1.50945,0.155392,0.565099,-0.464147,0.079466,-1.32471,0.329805,0.795527,1.30999,2.85682,0.222243,0.156,-0.113823,0.033264,0.171121,0.0811195,0.0637826,-0.299021,-0.526984,-0.439442,-0.497825,0.0512491,0.186373,-0.153078,0.0262083,-0.436895,-0.340541
-320.689,0,2.43117,0,1,1,328.648,-0.340541,-1.98885,1.40109,0.983479,-0.71758,0.209708,1.07881,0.511405,0.402107,-1.88513,0.158621,-1.59786,-1.33243,-1.50945,0.155392,0.565099,-0.464147,0.079466,-1.32471,0.329805,0.795527,1.30999,2.85682,0.222243,0.156,-0.113823,0.033264,0.171121,0.0811195,0.0637826,-0.299021,-0.526984,-0.439442,-0.497825,0.0512491,0.186373,-0.153078,0.0262083,-0.436895,-0.340541
-320.689,0,0.239791,1,2,1,331.15,-0.340541,-1.98885,1.40109,0.983479,-0.71758,0.209708,1.07881,0.511405,0.402107,-1.88513,0.158621,-1.59786,-1.33243,-1.50945,0.155392,0.565099,-0.464147,0.079466,-1.32471,0.329805,0.795527,1.30999,2.85682,0.222243,0.156,-0.113823,0.033264,0.171121,0.0811195,0.0637826,-0.299021,-0.526984,-0.439442,-0.497825,0.0512491,0.186373,-0.153078,0.0262083,-0.436895,-0.340541
-235.547,0.996398,0.0186273,5,31,0,327.669,-0.546767,-2.47176,1.5544,1.27601,-1.18412,-0.00848064,0.683597,0.293119,0.402307,-1.51229,0.248885,-0.515001,-0.319004,-0.90254,-0.0505894,0.822024,-0.209761,0.0663386,-1.20392,0.037318,0.867453,0.61398,3.35599,0.386866,0.317579,-0.294709,-0.0021107,0.170137,0.0729528,0.100128,-0.376387,-0.0192188,-0.0119046,-0.033681,-0.0018879,0.0306763,-0.00782788,0.00247562,-0.044928,-0.546767
-229.629,0.972812,0.025451,7,127,0,247.206,-0.0159705,-6.81623,-1.05908,-0.828854,1.11819,0.559467,-0.898204,-0.466645,-0.444805,0.634175,0.0266571,0.140282,1.87894,0.906601,-1.19644,-0.775208,0.957203,0.255216,0.629507,0.0148627,0.835251,0.423255,3.05547,-0.0282319,-0.0220948,0.0298077,0.0149138,-0.0239435,-0.0124394,-0.0118572,0.0169053,0.00208497,0.0279262,0.0134745,-0.0177823,-0.0115217,0.0142266,0.0037932,0.00935617,-0.0159705
-214.715,0.999418,0.0367712,6,63,0,235.817,-0.32354,-5.53996,-0.280123,0.086409,-0.324363,-0.69159,-0.0946521,0.497259,-0.774057,-0.388071,0.0687748,-0.255841,0.865152,1.54445,-0.92053,-0.982595,-0.876562,-0.389353,-0.434214,0.0401633,0.70461,0.503231,3.94521,-0.0192654,0.00594276,-0.022308,-0.047564,-0.00650968,0.0341989,-0.0532356,-0.0266895,-0.0102754,0.0347474,0.0620304,-0.0369715,-0.0394643,-0.0352057,-0.0156377,-0.0174395,-0.32354
-220.03,0.948635,0.0623308,6,63,0,230.502,-0.153799,-4.67846,-1.62902,1.56961,-2.3679,2.46756,-0.209673,-0.0772009,-2.00591,-0.279843,0.0941664,-0.526014,1.89125,0.597064,-0.909002,0.425935,-1.91794,0.0212424,1.20108,0.0580239,0.640779,0.431577,2.92819,-0.153399,0.147804,-0.222977,0.232362,-0.0197441,-0.00726973,-0.188889,-0.0263518,-0.0305214,0.109737,0.034644,-0.0527438,0.0247144,-0.111286,0.00123257,0.0696915,-0.153799
-213.535,0.991417,0.0946845,5,31,0,228.611,-0.15656,-3.65457,-0.127163,1.10513,-0.775398,1.76229,0.0443957,0.038361,-1.46568,1.41658,0.0889959,-0.858544,1.29231,-0.490877,0.259128,0.223604,-1.41375,-0.416126,0.892845,0.0539309,0.591656,0.502714,4.40914,-0.011317,0.0983521,-0.0690073,0.156836,0.00395104,0.00341397,-0.130439,0.12607,-0.046302,0.0696955,-0.0264734,0.013975,0.0120592,-0.0762449,-0.0224421,0.0481519,-0.15656
-213.535,0.139199,0.169438,3,11,1,226.492,-0.15656,-3.65457,-0.127163,1.10513,-0.775398,1.76229,0.0443957,0.038361,-1.46568,1.41658,0.0889959,-0.858544,1.29231,-0.490877,0.259128,0.223604,-1.41375,-0.416126,0.892845,0.0539309,0.591656,0.502714,4.40914,-0.011317,0.0983521,-0.0690073,0.156836,0.00395104,0.00341397,-0.130439,0.12607,-0.046302,0.0696955,-0.0264734,0.013975,0.0120592,-0.0762449,-0.0224421,0.0481519,-0.15656
