# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_resid_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
-343.318,1,0.125,2,3,0,935.441,-0.0161007,-0.757595,0.293358,-0.373657,0.676188,-2.0312,0.0473204,0.554045,0.538798,-0.298829,2.2188,-0.261641,-0.392248,-0.314365,0.597039,-0.191707,-1.65611,-0.0525827,-1.8128,0.242544,0.26099,0.970783,1.06459,0.650903,-0.82907,1.50032,-4.50682,0.104994,1.22931,1.19548,-0.66304,-0.0634595,-0.0951376,-0.0762475,0.144808,-0.0464974,-0.40168,-0.0127536,-0.439684,-0.0161007
-343.318,0,14.3855,0,1,1,352.761,-0.0161007,-0.757595,0.293358,-0.373657,0.676188,-2.0312,0.0473204,0.554045,0.538798,-0.298829,2.2188,-0.261641,-0.392248,-0.314365,0.597039,-0.191707,-1.65611,-0.0525827,-1.8128,0.242544,0.26099,0.970783,1.06459,0.650903,-0.82907,1.50032,-4.50682,0.104994,1.22931,1.19548,-0.66304,-0.0634595,-0.0951376,-0.0762475,0.144808,-0.0464974,-0.40168,-0.0127536,-0.439684,-0.0161007
-343.318,0,2.43117,0,1,1,356.006,-0.0161007,-0.757595,0.293358,-0.373657,0.676188,-2.0312,0.0473204,0.554045,0.538798,-0.298829,2.2188,-0.261641,-0.392248,-0.314365,0.597039,-0.191707,-1.65611,-0.0525827,-1.8128,0.242544,0.26099,0.970783,1.06459,0.650903,-0.82907,1.50032,-4.50682,0.104994,1.22931,1.19548,-0.66304,-0.0634595,-0.0951376,-0.0762475,0.144808,-0.0464974,-0.40168,-0.0127536,-0.439684,-0.0161007
-343.318,3.49419e-28,0.239791,3,7,0,347.587,-0.0161007,-0.757595,0.293358,-0.373657,0.676188,-2.0312,0.0473204,0.554045,0.538798,-0.298829,2.2188,-0.261641,-0.392248,-0.314365,0.597039,-0.191707,-1.65611,-0.0525827,-1.8128,0.242544,0.26099,0.970783,1.06459,0.650903,-0.82907,1.50032,-4.50682,0.104994,1.22931,1.19548,-0.66304,-0.0634595,-0.0951376,-0.0762475,0.144808,-0.0464974,-0.40168,-0.0127536,-0.439684,-0.0161007
-258.891,0.999141,0.0186273,5,31,0,356.156,-0.27846,-1.0397,0.37738,-0.911057,0.901337,-1.2807,-0.154761,0.108773,0.827001,-0.335361,0.939967,-0.101515,0.405019,-0.407828,0.22429,-0.0730942,-2.02847,0.271546,-1.90758,0.139475,0.331036,0.315423,1.06989,0.354725,-0.856364,0.847228,-1.20382,-0.14547,0.102243,0.777354,-0.315228,-0.0141589,0.0564903,-0.0568821,0.0312829,-0.0101948,-0.282922,0.037874,-0.26606,-0.27846
-238.19,0.993696,0.0256599,7,127,0,270.93,0.114137,-4.58187,-2.73864,-3.10922,-1.86194,2.19124,0.549217,-0.236441,0.264919,1.50558,0.158435,0.124723,2.55319,2.07432,-1.56314,0.420831,2.73718,0.264758,0.814085,0.0118337,0.459762,0.596943,21.9253,-0.433897,-0.492611,-0.294997,0.347169,0.0870154,-0.0374606,0.0419725,0.238536,0.00147594,0.0302138,0.024547,-0.0184978,0.00498,0.0323911,0.00313308,0.00963367,0.114137
-219.247,0.850835,0.0395298,6,127,0,254.165,-0.0835617,-4.53652,2.33052,-1.11922,-0.349637,1.4174,0.246674,-2.21971,-1.06181,0.972593,0.756608,-0.326587,0.143792,0.657261,-1.55917,-0.617403,-0.253297,-0.547793,0.918109,0.0921551,0.46724,0.404385,1.47852,1.76329,-0.846813,-0.264538,1.07242,0.186636,-1.67945,-0.803373,0.735872,-0.0300966,0.0132512,0.06057,-0.143685,-0.0568969,-0.0233426,-0.050482,0.0846085,-0.0835617
-211.598,0.983267,0.042246,6,127,0,230.615,-0.109022,-4.42387,1.70034,-1.19253,-0.568402,1.1471,-0.204462,-1.47714,-0.879868,1.25956,0.608112,-0.0933572,1.366,0.543095,-0.271366,-1.25994,0.817252,0.0111471,0.94827,0.117107,0.561413,0.33889,1.41256,1.034,-0.725194,-0.345652,0.697563,-0.124336,-0.898267,-0.535058,0.765952,-0.0109328,0.159968,0.0636001,-0.0317789,-0.147548,0.0957059,0.0013054,0.111049,-0.109022
-200.752,0.703599,0.0712851,5,31,0,221.737,0.0130396,-6.07933,-1.40489,-0.22276,-0.649583,0.0492579,0.699278,-0.710742,0.0754568,0.588282,2.63328,-0.0897373,1.12242,1.1996,-0.0688049,1.07959,0.529613,0.741483,-1.43246,0.0695127,0.597515,0.5179,5.75016,-3.69948,-0.586588,-1.71053,0.12971,1.84139,-1.87158,0.198699,1.54911,-0.00623788,0.0780225,0.0833876,-0.00478281,0.0750451,0.0368148,0.0515424,-0.0995744,0.0130396
-190.216,0.873974,0.0513341,6,63,0,208.893,-0.13446,-5.38365,-0.248297,-1.69045,-0.880646,-1.32717,0.923666,-1.50606,0.254044,1.26141,2.42621,-0.517662,0.854489,0.664906,-0.758188,-0.235879,-0.205334,1.42401,-0.349383,0.135144,0.150319,0.331602,2.1017,-0.602421,-4.10138,-2.13663,-3.21999,2.24101,-3.65401,0.616363,3.06044,-0.0699591,0.11548,0.0898583,-0.102465,-0.0318778,-0.0277497,0.192447,-0.0472171,-0.13446
-187.261,0.708286,0.0643904,4,31,1,203.664,-0.194721,-5.40223,0.259063,-1.36453,-0.794353,-1.06388,1.2261,-1.7001,0.073666,0.731877,2.82733,-0.306726,0.884229,1.19106,-0.701019,0.483987,-0.18311,1.08985,-2.06241,0.144967,0.305256,0.31941,1.94238,0.732455,-3.85797,-2.2459,-3.00794,3.46659,-4.80675,0.208278,2.06926,-0.0444651,0.128184,0.172665,-0.101625,0.0701621,-0.0265449,0.157992,-0.298981,-0.194721
-182.585,0.44942,0.0484723,6,63,0,195.568,-0.0971354,-4.19142,-0.4853,-0.80335,-0.514852,-0.55094,0.391535,-0.942586,-1.25879,-0.544636,4.88569,-0.16584,0.404519,1.26567,-0.578929,0.673044,1.20658,0.0560964,0.401062,0.125838,0.343503,0.376235,2.35149,-2.37102,-3.92492,-2.51541,-2.69172,1.91292,-4.60518,-6.15008,-2.66092,-0.020869,0.0509039,0.159269,-0.0728512,0.0846945,0.151833,0.00705906,0.0504689,-0.0971354
-182.237,0.990469,0.0163298,7,127,0,193.727,-0.182515,-4.13001,0.0165834,-1.43483,-0.599094,-0.646748,0.81109,-0.489589,-0.974607,-0.158638,3.79558,-0.384205,0.612381,1.13942,-0.391219,0.553656,0.565791,-0.363164,-0.0759914,0.135765,0.259727,0.441033,4.9581,0.0629438,-5.44602,-2.27391,-2.45479,3.07856,-1.85828,-3.6992,-0.602124,-0.0521615,0.0831396,0.154693,-0.0531137,0.0751669,0.0768144,-0.0493048,-0.0103169,-0.182515
