# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_resid_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
-189.019,0.000360792,0.0372362,7,127,0,203.358,-0.169054,0.28132,1.21235,-0.490023,-0.105104,-0.438289,1.30243,-1.1782,-0.274737,0.807194,4.95787,-0.284998,0.728144,1.40731,-0.192874,-0.669943,1.71372,0.446743,0.412118,0.130632,0.227849,0.325984,2.51375,6.01065,-2.42947,-0.521094,-2.17298,6.45727,-5.84139,-1.36211,4.00196,-0.0372299,0.0951192,0.183841,-0.0251957,-0.0875163,0.223867,0.0583592,0.053836,-0.169054
-181.687,0.998929,0.00299761,9,511,0,196.346,-0.0339985,-0.830703,0.063653,-1.33078,-0.519153,-0.904658,1.46536,-1.44121,-1.13213,0.405897,3.60695,-0.0331777,0.620053,0.813902,-0.740468,0.109471,0.584481,0.422559,-0.323345,0.148968,0.266223,0.38597,3.89005,0.229593,-4.80005,-1.87256,-3.26305,5.28548,-5.19836,-4.08355,1.46405,-0.00494243,0.0923684,0.121246,-0.110306,0.0163077,0.0870693,0.0629479,-0.0481682,-0.0339985
-180.308,0.997719,0.00574711,10,1023,0,194.111,-0.090035,-12.9329,-0.364663,-1.04724,-1.00913,-0.77853,-0.311953,-1.2558,1.56871,-0.697742,3.38136,-0.594541,1.0802,1.59474,-0.343449,0.494184,0.40794,0.10677,-1.00905,0.0887971,0.274812,0.325489,2.08566,-1.23306,-3.54111,-3.41223,-2.63249,-1.05483,-4.2463,5.30436,-2.35932,-0.0527935,0.0959183,0.141608,-0.0304973,0.0438821,0.0362239,0.00948085,-0.0896011,-0.090035
-185.062,0.957052,0.0110406,8,255,0,191.976,-0.176477,-13.4982,0.417202,-0.4364,-0.587116,-0.309122,-0.130272,-0.655705,0.350798,-0.207423,6.04109,-0.6572,1.10292,2.64571,-1.21303,0.555198,0.140608,-0.573165,-1.45356,0.0783984,0.17398,0.347448,2.66956,2.52035,-2.63633,-3.54682,-1.86744,-0.786984,-3.96117,2.1192,-1.25306,-0.0515235,0.0864675,0.207419,-0.0950999,0.0435267,0.0110234,-0.0449352,-0.113957,-0.176477
-185.459,0.990863,0.0187026,7,127,0,200.477,-0.173075,-14.483,1.39641,-1.01355,-2.16089,-1.02364,0.0106538,-2.26113,1.07069,0.626614,2.20202,-0.253694,0.448599,0.75365,-0.375576,0.138195,1.78683,0.662568,1.53638,0.172326,0.206756,0.394348,2.9155,3.07492,-2.23186,-4.75832,-2.25407,0.02346,-4.97905,2.35769,1.37982,-0.043718,0.0773052,0.129873,-0.0647213,0.0238145,0.307917,0.114177,0.264758,-0.173075
-179.647,0.123169,0.0351506,7,255,0,194.313,-0.0848334,-14.2681,0.990836,-0.977237,-1.94945,-1.07502,-0.209814,-2.15544,0.976145,0.740365,2.3047,-0.257945,0.502895,0.874783,-0.282235,0.0115409,1.59416,0.470544,1.5051,0.182781,0.18557,0.353277,2.61526,2.28358,-2.25224,-4.49289,-2.4776,-0.483558,-4.96765,2.24972,1.70632,-0.0471475,0.0919199,0.159894,-0.0515872,0.00210946,0.291382,0.0860067,0.275105,-0.0848334
-181.999,0.998857,0.00455502,9,511,0,191.511,-0.0931603,-14.141,1.72914,-0.947701,-1.44897,-0.704499,1.07376,-0.879895,1.41486,1.48041,3.33666,-0.24549,0.599471,1.2248,-0.719321,-0.320903,1.30498,0.436396,0.659222,0.133404,0.100637,0.330264,2.01465,5.76954,-3.16216,-4.83473,-2.35068,3.58278,-2.93591,4.72091,4.93964,-0.0327494,0.079972,0.163394,-0.0959605,-0.0428098,0.17409,0.0582171,0.0879431,-0.0931603
-184.141,0.994717,0.0088508,10,1023,0,194.055,-0.100731,-2.38619,-0.228865,0.24905,-0.462705,-0.0358686,0.513668,-2.55079,-1.42072,0.928182,3.65642,-0.246159,0.515161,0.670266,-0.770846,1.10129,1.40873,0.675178,0.127572,0.15371,0.152497,0.392167,3.03997,-0.836825,0.91063,-1.69184,-0.13115,1.87819,-9.32675,-5.19475,3.39382,-0.037837,0.0791851,0.103026,-0.118486,0.16928,0.216535,0.103781,0.0196091,-0.100731
-186.745,0.958775,0.0168631,7,127,0,197.566,-0.146028,-2.86548,0.775001,-0.802665,-0.420088,-0.645801,1.13219,-2.47084,-0.00777141,1.66383,2.42806,-0.560386,0.979145,1.32828,0.216463,0.64275,1.7353,-0.278019,0.0426589,0.10371,0.380932,0.388872,2.83523,1.88175,-1.94892,-1.02,-1.56804,2.74902,-5.99935,-0.0188694,4.03988,-0.0581178,0.101547,0.137757,0.0224494,0.0666598,0.179969,-0.0288334,0.00442417,-0.146028
-190.582,0.959261,0.0286076,6,63,0,203.635,-0.128384,-3.61997,0.433997,0.31496,-0.259425,-0.132507,0.79894,-2.02364,0.739837,1.48398,4.71557,-0.27868,1.07265,0.877952,0.285678,2.69559,1.40196,0.0985946,0.237759,0.0696369,0.268401,0.37522,2.68897,2.04654,1.48521,-1.22334,-0.624844,3.76745,-9.5426,3.48875,6.9978,-0.0194064,0.0746962,0.0611378,0.0198938,0.187712,0.0976281,0.00686582,0.0165568,-0.128384
